"CASRN","chemical_name "
"1746-01-6*","2,3,7,8-Tetrachlorodibenzo-p-dioxin2,3,7,8-Tetrachlorodibenzo-p-dioxin2,3,7,8-Tetrachlorodibenzo-p-dioxin2,3,7,8-Tetrachlorodibenzo-p-dioxin2,3,7,8-Tetrachlorodibenzo-p-dioxin2,3,7,8-Tetrachlorodibenzo-p-dioxin"
"40321-76-4*","1,2,3,7,8‑Pentachlorodibenzo-p-dioxin1,2,3,7,8‑Pentachlorodibenzo-p-dioxin1,2,3,7,8‑Pentachlorodibenzo-p-dioxin1,2,3,7,8‑Pentachlorodibenzo-p-dioxin1,2,3,7,8‑Pentachlorodibenzo-p-dioxin1,2,3,7,8‑Pentachlorodibenzo-p-dioxin"
"39227-28-6*","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin"
"57653-85-7*","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin"
"19408-74-3*","1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin1,2,3,7,8,9‑Hexachlorodibenzo-p-dioxin"
"35822-46-9*","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin"
"3268-87-9*","1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin1,2,3,4,6,7,8,9‑Octachlorodibenzo-p-dioxin"
"51207-31-9*","2,3,7,8-Tetrachlorodibenzofuran"
"57117-41-6*","1,2,3,7,8-Pentachlorodibenzofuran"
"57117-31-4*","2,3,4,7,8‑Pentachlorodibenzofuran2,3,4,7,8‑Pentachlorodibenzofuran2,3,4,7,8‑Pentachlorodibenzofuran2,3,4,7,8‑Pentachlorodibenzofuran2,3,4,7,8‑Pentachlorodibenzofuran2,3,4,7,8‑Pentachlorodibenzofuran"
"70648-26-9*","1,2,3,4,7,8‑Hexachlorodibenzofuran1,2,3,4,7,8‑Hexachlorodibenzofuran1,2,3,4,7,8‑Hexachlorodibenzofuran1,2,3,4,7,8‑Hexachlorodibenzofuran1,2,3,4,7,8‑Hexachlorodibenzofuran1,2,3,4,7,8‑Hexachlorodibenzofuran"
"57117-44-9*","1,2,3,6,7,8‑Hexachlorodibenzofuran1,2,3,6,7,8‑Hexachlorodibenzofuran1,2,3,6,7,8‑Hexachlorodibenzofuran1,2,3,6,7,8‑Hexachlorodibenzofuran1,2,3,6,7,8‑Hexachlorodibenzofuran1,2,3,6,7,8‑Hexachlorodibenzofuran"
"72918-21-9*","1,2,3,7,8,9‑Hexachlorodibenzofuran1,2,3,7,8,9‑Hexachlorodibenzofuran1,2,3,7,8,9‑Hexachlorodibenzofuran1,2,3,7,8,9‑Hexachlorodibenzofuran1,2,3,7,8,9‑Hexachlorodibenzofuran1,2,3,7,8,9‑Hexachlorodibenzofuran"
"60851-34-5*","2,3,4,6,7,8‑Hexachlorodibenzofuran2,3,4,6,7,8‑Hexachlorodibenzofuran2,3,4,6,7,8‑Hexachlorodibenzofuran2,3,4,6,7,8‑Hexachlorodibenzofuran2,3,4,6,7,8‑Hexachlorodibenzofuran2,3,4,6,7,8‑Hexachlorodibenzofuran"
"67562-39-4*","1,2,3,4,6,7,8-Heptachlorodibenzofuran"
"55673-89-7*","1,2,3,4,7,8,9‑Heptachlorodibenzofuran1,2,3,4,7,8,9‑Heptachlorodibenzofuran1,2,3,4,7,8,9‑Heptachlorodibenzofuran1,2,3,4,7,8,9‑Heptachlorodibenzofuran1,2,3,4,7,8,9‑Heptachlorodibenzofuran"
"39001-02-0*","1,2,3,4,6,7,8,9‑Octachlorodibenzofuran1,2,3,4,6,7,8,9‑Octachlorodibenzofuran1,2,3,4,6,7,8,9‑Octachlorodibenzofuran1,2,3,4,6,7,8,9‑Octachlorodibenzofuran1,2,3,4,6,7,8,9‑Octachlorodibenzofuran"
"N171","Ethylenebisdithiocarbamic acid, salts and esters"
"N230","Certain glycol ethers"
"N270","Hexabromocyclododecane (includes the 2 compounds below)Hexabromocyclododecane (includes the 2 compounds below)Hexabromocyclododecane (includes the 2 compounds below)Hexabromocyclododecane (includes the 2 compounds below)Hexabromocyclododecane (includes the 2 compounds below)"
"3194-55-6*","1,2,5,6,9,10-Hexabromocyclododecane"
"25637-99-4*","Hexabromocyclododecane"
"N420","Lead compounds"
"N450","Manganese compounds"
"N458","Mercury compounds"
"N495","Nickel compounds"
"N503","Nicotine and salts"
"N511","Nitrate compounds (water dissociable; reportable only when in aqueous solution)Nitrate compounds (water dissociable; reportable only when in aqueous solution)Nitrate compounds (water dissociable; reportable only when in aqueous solution)Nitrate compounds (water dissociable; reportable only when in aqueous solution)Nitrate compounds (water dissociable; reportable only when in aqueous solution)"
"N530","Nonylphenol (includes the 6 compounds below)Nonylphenol (includes the 6 compounds below)Nonylphenol (includes the 6 compounds below)Nonylphenol (includes the 6 compounds below)Nonylphenol (includes the 6 compounds below)"
"104-40-5*","4-Nonylphenol (p-Nonylphenol)4-Nonylphenol (p-Nonylphenol)4-Nonylphenol (p-Nonylphenol)4-Nonylphenol (p-Nonylphenol)4-Nonylphenol (p-Nonylphenol)"
"11066-49-2* ","Isononylphenol"
"25154-52-3*","Nonylphenol"
"26543-97-5*","4-Isononylphenol"
"84852-15-3*","4-Nonylphenol, branched (Branched p-nonylphenol)4-Nonylphenol, branched (Branched p-nonylphenol)4-Nonylphenol, branched (Branched p-nonylphenol)4-Nonylphenol, branched (Branched p-nonylphenol)"
"90481-04-2*","Nonylphenol, branched"
"N535","Nonylphenol Ethoxylates (includes the 13 compounds below)Nonylphenol Ethoxylates (includes the 13 compounds below)Nonylphenol Ethoxylates (includes the 13 compounds below)Nonylphenol Ethoxylates (includes the 13 compounds below)"
"7311-27-5* ","Ethanol, 2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]- "
"9016-45-9*","Poly(oxy-1,2-ethanediyl), -(nonylphenyl)--hydroxy-; (Polyethylene glycol nonylphenyl ether)Poly(oxy-1,2-ethanediyl), -(nonylphenyl)--hydroxy-; (Polyethylene glycol nonylphenyl ether)Poly(oxy-1,2-ethanediyl), -(nonylphenyl)--hydroxy-; (Polyethylene glycol nonylphenyl ether)Poly(oxy-1,2-ethanediyl), -(nonylphenyl)--hydroxy-; (Polyethylene glycol nonylphenyl ether)"
"20427-84-3*","Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]-; (2-[2-(4-Nonylphenoxy)ethoxy]ethanol)"
"26027-38-3*","Poly(oxy-1,2-ethanediyl), -(4-nonylphenyl)--hydroxy-; (p-Nonylphenol polyethylene glycol ether)Poly(oxy-1,2-ethanediyl), -(4-nonylphenyl)--hydroxy-; (p-Nonylphenol polyethylene glycol ether)Poly(oxy-1,2-ethanediyl), -(4-nonylphenyl)--hydroxy-; (p-Nonylphenol polyethylene glycol ether)Poly(oxy-1,2-ethanediyl), -(4-nonylphenyl)--hydroxy-; (p-Nonylphenol polyethylene glycol ether)"
"26571-11-9*","3,6,9,12,15,18,21,24-Octaoxahexacosan-1-ol, 26-(nonylphenoxy)- "
"27176-93-8*","Ethanol, 2-[2-(nonylphenoxy)ethoxy]-; (Diethylene glycol nonylphenol ether) "
"27177-05-5*","3,6,9,12,15,18,21-Heptaoxatricosan-1-ol, 23-(nonylphenoxy)- "
"27177-08-8*","3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(nonylphenoxy)- "
"27986-36-3*","Ethanol, 2-(nonylphenoxy)-; (2-(Nonylphenoxy)ethanol) "
"37205-87-1*","Poly(oxy-1,2-ethanediyl), α-(isononylphenyl)--hydroxy- Poly(oxy-1,2-ethanediyl), α-(isononylphenyl)--hydroxy- Poly(oxy-1,2-ethanediyl), α-(isononylphenyl)--hydroxy- Poly(oxy-1,2-ethanediyl), α-(isononylphenyl)--hydroxy- "
"51938-25-1*","Poly(oxy-1,2-ethanediyl), α (2-nonylphenyl)--hydroxy- Poly(oxy-1,2-ethanediyl), α (2-nonylphenyl)--hydroxy- Poly(oxy-1,2-ethanediyl), α (2-nonylphenyl)--hydroxy- "
"68412-54-4*","Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)--hydroxy-, branched;  (Polyethylene glycol mono(branched nonylphenyl) ether) Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)--hydroxy-, branched;  (Polyethylene glycol mono(branched nonylphenyl) ether) Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)--hydroxy-, branched;  (Polyethylene glycol mono(branched nonylphenyl) ether) "
"127087-87-0*","Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)--hydroxy-, branched; (Polyethylene glycol mono(branched p-nonylphenyl) ether) Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)--hydroxy-, branched; (Polyethylene glycol mono(branched p-nonylphenyl) ether) Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)--hydroxy-, branched; (Polyethylene glycol mono(branched p-nonylphenyl) ether) "
"N575","Polybrominated biphenyls (PBBs)"
"N583","Polychlorinated alkanes (C10-C13)"
"N590","Polycyclic aromatic compounds (includes the 25 compounds below)Polycyclic aromatic compounds (includes the 25 compounds below)Polycyclic aromatic compounds (includes the 25 compounds below)"
"56-55-3*","Benz[a]anthracene"
"218-01-9*","Benzo[a]phenanthrene (Chrysene)"
"50-32-8*","Benzo[a]pyrene"
"205-99-2*   ","Benzo[b]fluoranthene"
"205-82-3*","Benzo[j]fluoranthene"
"207-08-9*","Benzo[k]fluoranthene"
"206-44-0*","Benzo[j,k]fluorene (Fluoranthene)"
"189-55-9*","Benzo[r,s,t]pentaphene (Dibenzo[a,i]pyrene)"
"226-36-8*","Dibenz[a,h]acridine"
"224-42-0*","Dibenz[a,j]acridine"
"53-70-3* ","Dibenzo[a,h]anthracene (Dibenz[a,h]anthracene)"
"5385-75-1*","Dibenzo[a,e]fluoranthene"
"192-65-4*","Dibenzo[a,e]pyrene"
"189-64-0*","Dibenzo[a,h]pyrene"
"191-30-0*","Dibenzo[a,l]pyrene"
"194-59-2*","7H-Dibenzo[c,g]carbazole"
"57-97-6*","7,12-Dimethylbenz[a]anthracene"
"42397-64-8*","1,6-Dinitropyrene"
"42397-65-9*","1,8-Dinitropyrene"
"193-39-5*","Indeno[1,2,3-cd]pyrene"
"56-49-5*","3-Methylcholanthrene"
"3697-24-3*","5-Methylchrysene"
"7496-02-8*","6-Nitrochrysene"
"5522-43-0*","1-Nitropyrene"
"57835-92-4*","4-Nitropyrene"
"N725","Selenium compounds"
"N740","Silver compounds"
"N746","Strychnine and salts"
"N760","Thallium compounds"
"N770","Vanadium compounds"
"N874","Warfarin and salts"
"N982","Zinc compounds"
"68391-08-2","Alcohols, C8-14, γ-ω-perfluoro"
"97659-47-7","Alkenes, C8-14 α-, δ-ω-perfluoro"
"68188-12-5","Alkyl iodides, C4-20, γ-ω-perfluoro"
"3825-26-1","Ammonium perfluorooctanoate"
"68515-62-8","1,4-Benzenedicarboxylic acid, dimethyl ester, reaction products with bis(2-hydroxyethyl)terephthalate, ethylene glycol, α-fluoro-ω-(2- hydroxyethyl)poly(difluoromethylene), hexakis(methoxymethyl)melamine and polyethylene glycol"
"68187-25-7","Butanoic acid, 4-[[3-(dimethylamino)propyl]amino]-4-oxo-, 2(or 3)-[(γ-ω-perfluoro-C6-20-alkyl)thio] derivs."
"383-07-3","2-[Butyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl acrylate"
"68141-02-6","Chromium(III) perfluorooctanoate"
"67584-42-3","Cyclohexanesulfonic acid, decafluoro(pentafluoroethyl)-, potassium salt"
"68156-07-0","Cyclohexanesulfonic acid, decafluoro(trifluoromethyl)-, potassium salt"
" 68156-01-4","Cyclohexanesulfonic acid, nonafluorobis(trifluoromethyl)-, potassium salt"
"3107-18-4","Cyclohexanesulfonic acid, undecafluoro-, potassium salt"
"2043-53-0","Decane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluoro-10-iodo-"
"67906-42-7","1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-, ammonium salt"
"27619-90-5","1-Decanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-"
"678-39-7","1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-"
"118400-71-8","Disulfides, bis(γ-ω-perfluoro-C6-20-alkyl)"
"2043-54-1","Dodecane, 1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-heneicosafluoro-12-iodo-"
"27619-91-6","1-Dodecanesulfonyl chloride, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-"
"865-86-1","1-Dodecanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluoro-"
"65104-65-6","1-Eicosanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20-heptatriacontafluoro-"
"65636-35-3","Ethanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamideEthanaminium, N,N-diethyl-N-methyl-2-[(2-methyl-1-oxo-2-propenyl)oxy]-, methyl sulfate, polymer with 2-ethylhexyl 2-methyl-2-propenoate, α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propenyl)oxy]ethyl]poly(difluoromethylene), 2-hydroxyethyl 2-methyl-2-propenoate and N-(hydroxymethyl)-2-propenamide"
"56773-42-3","Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)Ethanaminium, N,N,N-triethyl-, salt with 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-1-octanesulfonic acid (1:1)"
"182176-52-9","Ethaneperoxoic acid, reaction products with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl thiocyanate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl thiocyanate"
"65530-74-7","Ethanol, 2,2'-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (1:1)"
"65530-63-4","Ethanol, 2,2'-iminobis-, compd. with α-fluoro-ω-[2-(phosphonooxy)ethyl]poly(difluoromethylene) (2:1)"
"65530-64-5","Ethanol, 2,2'-iminobis-, compd. with α,α'-[phosphinicobis(oxy-2,1-ethanediyl)]bis[ω-fluoropoly(difluoromethylene)] (1:1)"
"1691-99-2","N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamideN-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide"
"423-82-5","2-[Ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl acrylate"
"376-14-7","2-[Ethyl[(heptadecafluorooctyl)sulfonyl]amino]ethyl methacrylate"
"72623-77-9","Fatty acids, C6-18, perfluoro, ammonium salts"
"72968-38-8","Fatty acids, C7-13, perfluoro, ammonium salts"
"178535-23-4","Fatty acids, linseed-oil, γ-ω-perfluoro-C8-14-alkyl esters"
"2991-51-7","Glycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(heptadecafluorooctyl)sulfonyl]-, potassium salt"
"55910-10-6","Glycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium saltGlycine, N-[(heptadecafluorooctyl)sulfonyl]-N-propyl-, potassium salt"
"67584-62-7","Glycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(pentadecafluoroheptyl)sulfonyl]-, potassium salt"
"67584-53-6","Glycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(tridecafluorohexyl)sulfonyl]-, potassium salt"
"67584-52-5","Glycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium saltGlycine, N-ethyl-N-[(undecafluoropentyl)sulfonyl]-, potassium salt"
"1652-63-7","3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide"
"25268-77-3","2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate"
